Date,Enters,Branch,Branch for data blending,Time,Region
7/8/2026,0,Library for Arts & Culture,Library for Arts & Culture,7:00PM,Park Slope
7/8/2026,0,Pacific,Pacific,7:00PM,Park Slope
7/8/2026,0,Park Slope,Park Slope,7:00PM,Park Slope
7/8/2026,0,Walt Whitman,Walt Whitman,7:00PM,Park Slope
7/8/2026,0,Adams Street,Adams Street,8:00PM,Park Slope
7/8/2026,0,Brooklyn Heights,Brooklyn Heights,8:00PM,Park Slope
7/8/2026,0,Clinton Hill,Clinton Hill,8:00PM,Park Slope
7/8/2026,0,Library for Arts & Culture,Library for Arts & Culture,8:00PM,Park Slope
7/8/2026,0,Pacific,Pacific,8:00PM,Park Slope
7/8/2026,0,Park Slope,Park Slope,8:00PM,Park Slope
7/8/2026,0,Walt Whitman,Walt Whitman,8:00PM,Park Slope
7/8/2026,0,Adams Street,Adams Street,9:00PM,Park Slope
7/8/2026,0,Brooklyn Heights,Brooklyn Heights,9:00PM,Park Slope
7/8/2026,0,Clinton Hill,Clinton Hill,9:00PM,Park Slope
7/8/2026,0,Library for Arts & Culture,Library for Arts & Culture,9:00PM,Park Slope
7/8/2026,0,Pacific,Pacific,9:00PM,Park Slope
7/8/2026,0,Park Slope,Park Slope,9:00PM,Park Slope
7/8/2026,0,Walt Whitman,Walt Whitman,9:00PM,Park Slope
7/8/2026,28,Central,Central,10:00AM,Central
7/8/2026,407,Central,Central,10:00AM,Central
7/8/2026,0,Central,Central,10:00PM,Central
7/8/2026,24,Central,Central,11:00AM,Central
7/8/2026,26,Central,Central,12:00PM,Central
7/8/2026,24,Central,Central,2:00PM,Central
7/8/2026,15,Central,Central,3:00PM,Central
7/8/2026,15,Central,Central,4:00PM,Central
7/8/2026,366,Central,Central,4:00PM,Central
7/8/2026,50,Flatlands,Flatlands,11:00AM,Flatbush
7/8/2026,36,Rugby,Rugby,11:00AM,Flatbush
7/8/2026,43,Flatbush,Flatbush,12:00PM,Flatbush
7/8/2026,0,Coney Island,Coney Island,9:00PM,New Utrecht
7/8/2026,0,Dyker,Dyker,9:00PM,New Utrecht
7/8/2026,0,Fort Hamilton,Fort Hamilton,9:00PM,New Utrecht
